algorithm,n,k,lcs_length,lcs_count,running time,memory usage
main,9,2,5,6,0.23,26337280
naive,9,2,5,6,0.23,26210304
main,18,2,10,36,0.26,26640384
naive,18,2,10,36,0.24,26480640
main,27,2,15,216,0.39,27185152
naive,27,2,15,216,1.41,26791936
main,36,2,20,1296,1.32,27418624
naive,36,2,20,1296,102.20,26923008
main,45,2,25,7776,18.04,29483008
main,54,2,30,46656,207.30,44875776
main,9,3,5,6,0.33,26394624
naive,9,3,5,6,0.23,26251264
main,18,3,10,36,0.32,28467200
naive,18,3,10,36,0.21,25890816
main,27,3,15,216,0.73,38526976
naive,27,3,15,216,10.01,26324992
main,36,3,20,1296,3.03,72814592
main,45,3,25,7776,22.64,146219008
main,54,3,30,46656,225.18,298070016
main,9,4,5,6,0.30,27099136
naive,9,4,5,6,0.18,25804800
main,18,4,10,36,2.73,76378112
naive,18,4,10,36,0.68,25837568
main,27,4,15,216,82.33,1368215552
main,9,5,5,6,0.54,31072256
naive,9,5,5,6,0.22,26136576
main,18,5,10,36,105.36,1443790848
naive,18,5,10,36,5.15,26091520
main,9,6,5,6,2.16,57757696
naive,9,6,5,6,0.24,25878528
naive,18,6,10,36,52.61,26316800
main,9,7,5,6,13.09,221868032
naive,9,7,5,6,0.22,25890816
naive,18,7,10,36,317.16,26198016
main,9,8,5,6,84.02,1362919424
naive,9,8,5,6,0.23,25894912
naive,9,9,5,6,0.39,26144768
naive,9,10,5,6,0.31,26050560
